car_id,listed_date,city,brand,model,year,mileage_km,fuel_type,transmission,engine_l,owners_count,accident_history,condition,color,seller_type,service_records,warranty_months,price_sar
CR-70191,2026-05-10,Tabuk,Hyundai,Sonata,2021,89368.0,Petrol,Automatic,2.0,2,0,Excellent,Gray,Private,1,0,54500
CR-70192,2026-07-25,Khobar,Mazda,CX-5,2020,118442.0,Hybrid,Automatic,2.5,1,0,Excellent,White,Dealer,1,6,78900
CR-70193,2026-07-09,Abha,Hyundai,Elantra,2025,27592.0,Petrol,Automatic,1.6,1,0,Excellent,Black,Private,1,12,66100
CR-70194,2026-05-15,Khobar,Hyundai,Elantra,2014,238997.0,Hybrid,Automatic,2.0,2,0,Good,White,Dealer,1,0,18000
CR-70195,2026-07-14,Tabuk,Kia,Cerato,2025,34521.0,Petrol,Automatic,2.0,1,0,Good,White,Private,1,12,61900
CR-70196,2026-07-11,Makkah,Toyota,Land Cruiser,2013,218051.0,Petrol,Automatic,3.5,1,0,Good,Silver,Auction,0,6,78700
CR-70197,2026-04-25,Khobar,Toyota,Corolla,2019,112299.0,Petrol,Automatic,2.0,2,1,Good,Silver,Private,0,12,31800
CR-70198,2026-07-05,Makkah,GMC,Yukon,2022,77616.0,Petrol,Automatic,6.2,2,0,Good,Blue,Private,1,12,187800
CR-70199,2026-05-19,Khobar,Kia,Cerato,2020,109254.0,Petrol,Automatic,1.6,3,0,Excellent,Silver,Private,0,0,39000
CR-70200,2026-07-08,Khobar,Hyundai,Tucson,2020,127011.0,Petrol,Automatic,2.0,1,0,Fair,White,Private,0,0,51300
CR-70201,2026-06-11,Jeddah,Chevrolet,Malibu,2016,181054.0,Petrol,Automatic,2.0,2,0,Good,Gray,Private,0,24,23700
CR-70202,2026-05-29,Riyadh,Honda,Civic,2015,185450.0,Hybrid,Automatic,2.0,2,0,Good,Black,Dealer,0,0,27600
CR-70203,2026-04-23,Riyadh,Ford,Explorer,2015,214324.0,Petrol,Automatic,2.3,2,0,Excellent,Gray,Dealer,1,0,58300
CR-70204,2026-06-02,Abha,BMW,5 Series,2015,205965.0,Petrol,Automatic,3.0,2,0,Fair,Blue,Dealer,0,12,67900
CR-70205,2026-07-28,Madinah,Chevrolet,Malibu,2022,83930.0,Petrol,Automatic,2.0,3,0,Good,White,Dealer,1,0,49900
CR-70206,2026-04-20,Madinah,Toyota,Camry,2018,151849.0,Petrol,Manual,2.0,2,1,Good,Black,Private,1,12,38300
CR-70207,2026-07-12,Khobar,Hyundai,Sonata,2013,257888.0,Petrol,Automatic,2.0,1,0,Excellent,Black,Private,1,0,21500
CR-70208,2026-06-16,Dammam,Hyundai,Elantra,2022,75689.0,Petrol,Automatic,,1,0,Excellent,Black,Dealer,1,0,57400
CR-70209,2026-06-04,Tabuk,Mazda,CX-5,2024,26818.0,Petrol,Automatic,2.5,1,0,Excellent,White,Dealer,1,24,114200
CR-70210,2026-04-30,Jeddah,Toyota,Corolla,2024,39731.0,Petrol,Automatic,1.6,2,0,Good,White,Auction,1,0,61200
CR-70211,2026-06-28,Riyadh,Hyundai,Sonata,2012,270137.0,Petrol,Automatic,2.5,3,0,Good,Gray,Dealer,1,0,18400
CR-70212,2026-06-01,Khobar,Hyundai,Tucson,2017,166973.0,Petrol,Automatic,1.6,2,0,Excellent,White,Private,0,12,42800
CR-70213,2026-07-13,Madinah,Kia,Sportage,2017,174401.0,Petrol,Automatic,2.5,3,0,Good,White,Auction,1,0,32700
CR-70214,2026-06-07,Abha,Toyota,Corolla,2025,44720.0,Petrol,Automatic,,3,1,Excellent,White,Private,1,6,57000
CR-70215,2026-05-03,Abha,Hyundai,Elantra,2018,148851.0,Petrol,Automatic,1.6,3,0,Fair,Red,Private,1,0,23800
CR-70216,2026-06-02,Madinah,Ford,Explorer,2021,101914.0,Petrol,Automatic,2.3,2,0,Good,Silver,Dealer,1,0,108600
CR-70217,2026-06-16,Makkah,Nissan,Patrol,2019,136987.0,Petrol,Automatic,5.6,1,0,Fair,Black,Dealer,1,0,135500
CR-70218,2026-07-04,Tabuk,Hyundai,Tucson,2017,163301.0,Petrol,Automatic,2.0,1,0,Good,White,Auction,1,0,36700
CR-70219,2026-04-24,Madinah,GMC,Yukon,2020,122797.0,Petrol,Automatic,6.2,1,0,Good,White,Dealer,1,0,167400
CR-70220,2026-04-07,Khobar,Kia,Sportage,2016,200245.0,Petrol,Automatic,2.5,1,0,Good,White,Dealer,1,0,38300
CR-70221,2026-07-05,Riyadh,Mazda,CX-5,2012,268804.0,Petrol,Automatic,2.0,2,0,Good,Red,Private,0,0,21500
CR-70222,2026-05-06,Tabuk,Kia,Sportage,2018,152378.0,Petrol,Automatic,2.0,3,0,Excellent,White,Dealer,0,24,45800
CR-70223,2026-07-29,Tabuk,Toyota,Corolla,2022,94235.0,Petrol,Automatic,2.0,3,0,Good,Silver,Dealer,1,24,49600
CR-70224,2026-04-11,Abha,Honda,Civic,2020,98244.0,Petrol,Automatic,2.0,2,0,Good,Gray,Private,1,6,39900
CR-70225,2026-06-18,Dammam,Toyota,Hilux,2023,57491.0,Petrol,Automatic,2.8,1,0,Excellent,Black,Dealer,1,12,111000
CR-70226,2026-06-10,Dammam,Chevrolet,Malibu,2015,208923.0,Petrol,Automatic,1.5,1,1,Excellent,Black,Private,1,12,18700
CR-70227,2026-04-18,Makkah,Honda,Civic,2024,40331.0,Petrol,Manual,2.0,1,1,Good,Black,Dealer,1,0,54400
CR-70228,2026-07-05,Madinah,Ford,Explorer,2024,41780.0,Petrol,Automatic,3.0,1,0,Excellent,,Dealer,1,0,176800
CR-70229,2026-07-30,Riyadh,Toyota,Camry,2014,227922.0,Petrol,Automatic,2.5,3,1,Excellent,White,Dealer,1,0,27900
CR-70230,2026-05-27,Riyadh,Hyundai,Tucson,2013,250789.0,Petrol,Manual,2.0,1,0,Excellent,Red,Dealer,1,0,26500
CR-70231,2026-04-10,Khobar,GMC,Yukon,2022,90530.0,Petrol,Automatic,5.3,3,0,Fair,Silver,Private,1,6,146700
CR-70232,2026-05-20,Riyadh,Honda,Civic,2020,109475.0,Petrol,Manual,1.5,1,0,Excellent,Brown,Private,1,0,44700
CR-70233,2026-05-11,Riyadh,Nissan,Altima,2019,106602.0,Petrol,Automatic,2.5,3,0,Good,Blue,Dealer,1,12,42200
CR-70234,2026-06-18,Dammam,Honda,Civic,2019,133884.0,Petrol,Automatic,2.0,1,0,Good,White,Dealer,1,12,42500
CR-70235,2026-06-02,Jeddah,Toyota,Land Cruiser,2023,51387.0,Petrol,Automatic,4.0,2,0,Good,White,Private,1,0,264500
CR-70236,2026-05-03,Tabuk,Mazda,CX-5,2024,34076.0,Petrol,Automatic,2.0,2,0,Good,Black,Dealer,0,0,93100
CR-70237,2026-06-28,Abha,Kia,Sportage,2016,183028.0,Petrol,Automatic,1.6,2,0,Fair,Blue,Private,1,24,28200
CR-70238,2026-06-01,Abha,Kia,Cerato,2024,61397.0,Petrol,Automatic,2.0,1,0,Good,Black,Private,1,12,55400
CR-70239,2026-07-21,Jeddah,Honda,Civic,2019,127830.0,Petrol,Automatic,1.5,1,0,Good,White,Dealer,1,0,40600
CR-70240,2026-05-17,Dammam,Honda,Accord,2015,207707.0,Petrol,Automatic,1.5,2,0,Good,White,Dealer,1,0,32200
CR-70241,2026-06-29,Jeddah,Nissan,Patrol,2024,42726.0,Petrol,Automatic,5.6,3,0,Good,Black,Dealer,1,0,247600
CR-70242,2026-04-19,Abha,Hyundai,Elantra,2022,74771.0,Petrol,Automatic,2.0,2,0,Good,White,Private,1,0,42500
CR-70243,2026-04-13,Madinah,Mazda,CX-5,2020,123695.0,Petrol,Manual,2.5,4,1,Fair,,Dealer,0,0,34100
CR-70244,2026-06-26,Dammam,Kia,Sportage,2021,84244.0,Petrol,Automatic,1.6,2,0,Excellent,White,Auction,1,0,59800
CR-70245,2026-07-15,Makkah,BMW,5 Series,2020,141242.0,Petrol,Automatic,3.0,1,0,Good,Red,Private,1,12,138300
CR-70246,2026-05-28,Makkah,Ford,Explorer,2012,251233.0,Petrol,Automatic,3.0,1,1,Good,White,Dealer,0,24,33800
CR-70247,2026-06-10,Khobar,Toyota,Hilux,2015,212886.0,Diesel,Automatic,2.4,3,0,Excellent,White,Private,1,0,36500
CR-70248,2026-04-27,Khobar,Chevrolet,Malibu,2020,86300.0,Petrol,Automatic,1.5,1,0,Good,White,Private,1,0,45700
CR-70249,2026-05-24,Dammam,Mercedes-Benz,E-Class,2018,152881.0,Petrol,Automatic,2.0,2,0,Excellent,White,Dealer,0,0,123800
CR-70250,2026-05-30,Riyadh,Honda,Civic,2016,200908.0,Petrol,Automatic,1.5,3,0,Good,White,Private,1,0,22200
CR-70251,2026-07-09,Abha,Mazda,CX-5,2012,275576.0,Petrol,Automatic,2.5,1,0,Good,Black,Private,0,0,21900
CR-70252,2026-05-07,Jeddah,Hyundai,Sonata,2017,167725.0,Petrol,Automatic,2.5,2,1,Good,Black,Private,0,24,27600
CR-70253,2026-04-12,Jeddah,Hyundai,Tucson,2015,215207.0,Petrol,Manual,1.6,2,0,Good,Silver,Private,1,0,26000
CR-70254,2026-04-15,Riyadh,Hyundai,Tucson,2020,132090.0,Petrol,Automatic,1.6,1,0,Good,Gray,Dealer,1,0,60800
CR-70255,2026-07-10,Khobar,Hyundai,Elantra,2021,101194.0,Petrol,Automatic,2.0,3,0,Good,Brown,Private,1,0,36600
CR-70256,2026-05-09,Madinah,Nissan,Patrol,2013,240979.0,Petrol,Manual,4.0,1,0,Good,White,Dealer,1,0,66400
CR-70257,2026-05-17,Jeddah,Kia,Sportage,2015,214464.0,Diesel,Automatic,2.0,2,0,Good,Silver,Private,1,0,26700
CR-70258,2026-07-10,Jeddah,Hyundai,Tucson,2018,144628.0,Hybrid,Automatic,2.0,1,0,Excellent,White,Dealer,1,0,60800
CR-70259,2026-05-04,Khobar,Kia,Cerato,2018,127785.0,Petrol,Manual,2.0,2,1,Excellent,Red,Dealer,0,0,27000
CR-70260,2026-06-26,Dammam,Honda,Civic,2015,217280.0,Petrol,Automatic,2.0,3,0,Good,White,Private,1,0,19000
CR-70261,2026-04-29,Riyadh,Hyundai,Tucson,2014,221318.0,Hybrid,Automatic,2.0,1,0,Good,White,Private,1,0,31100
CR-70262,2026-04-17,Madinah,Chevrolet,Malibu,2017,169819.0,Hybrid,Automatic,1.5,2,0,Good,Gray,Private,1,12,27800
CR-70263,2026-07-03,Dammam,Chevrolet,Malibu,2019,122910.0,Hybrid,Manual,1.5,2,0,Good,White,Dealer,0,0,37300
CR-70264,2026-07-07,Makkah,Chevrolet,Malibu,2014,216759.0,Petrol,Manual,2.0,2,0,Good,White,Dealer,1,12,18200
CR-70265,2026-06-09,Khobar,BMW,5 Series,2012,280456.0,Petrol,Automatic,3.0,2,0,Good,Silver,Private,1,24,50900
CR-70266,2026-07-29,Dammam,Kia,Cerato,2019,157116.0,Petrol,Automatic,2.0,1,0,Good,White,Dealer,1,6,35600
CR-70267,2026-05-14,Jeddah,Honda,Accord,2021,92604.0,Petrol,Automatic,1.5,2,0,Excellent,Blue,Dealer,1,12,76600
CR-70268,2026-07-29,Khobar,Hyundai,Tucson,2012,280648.0,Petrol,Automatic,2.5,2,1,Excellent,White,Private,1,24,19500
CR-70269,2026-04-11,Khobar,Kia,Sportage,2021,113838.0,Petrol,Automatic,1.6,3,0,Fair,Red,Dealer,0,6,48600
CR-70270,2026-04-09,Makkah,GMC,Yukon,2022,72877.0,Petrol,Automatic,5.3,2,0,Excellent,Silver,Private,0,12,200700
CR-70271,2026-04-09,Jeddah,Honda,Civic,2019,133991.0,Petrol,Automatic,1.5,1,0,Excellent,White,Dealer,1,0,40400
CR-70272,2026-04-20,Jeddah,BMW,5 Series,2021,81167.0,Petrol,Automatic,3.0,1,0,Excellent,White,Private,1,0,186900
CR-70273,2026-06-27,Jeddah,Nissan,Patrol,2022,77103.0,Petrol,Automatic,4.0,2,0,Good,White,Dealer,1,6,213000
CR-70274,2026-06-16,Jeddah,Honda,Accord,2025,22823.0,Petrol,Automatic,1.5,2,0,Fair,Silver,Dealer,0,0,84900
CR-70275,2026-04-17,Khobar,Mercedes-Benz,E-Class,2025,26281.0,Petrol,Automatic,2.0,2,1,Good,Black,Private,1,0,209800
CR-70276,2026-04-25,Khobar,Hyundai,Tucson,2017,173429.0,Petrol,Automatic,1.6,2,0,Good,Red,Dealer,1,24,41700
CR-70277,2026-06-06,Tabuk,Mercedes-Benz,E-Class,2018,153320.0,Petrol,Manual,2.0,2,0,Good,White,Private,0,0,95300
CR-70278,2026-06-28,Riyadh,Mercedes-Benz,E-Class,2014,218134.0,Hybrid,Manual,2.0,4,0,Good,Gray,Auction,1,0,60400
CR-70279,2026-07-10,Madinah,Nissan,Patrol,2021,86585.0,Petrol,Automatic,4.0,1,0,Good,White,Private,1,0,191700
CR-70280,2026-05-01,Dammam,Chevrolet,Tahoe,2017,164246.0,Diesel,Automatic,5.3,1,0,Good,White,Private,1,12,106900
CR-70281,2026-04-16,Madinah,Nissan,Patrol,2019,141689.0,Petrol,Automatic,4.0,1,0,Excellent,White,Dealer,0,0,154300
CR-70282,2026-05-26,Jeddah,Toyota,Camry,2016,214259.0,Petrol,Manual,2.5,1,0,Good,Gray,Private,1,0,36000
CR-70283,2026-04-20,,Kia,Sportage,2021,102415.0,Hybrid,Automatic,2.5,1,0,Good,,Private,1,0,72800
CR-70284,2026-07-25,Tabuk,Toyota,Camry,2017,189110.0,Hybrid,Automatic,2.5,2,0,Good,Silver,Private,1,12,44000
CR-70285,2026-07-20,Khobar,Toyota,Land Cruiser,2016,177556.0,Petrol,Automatic,3.5,2,0,Good,Brown,Dealer,1,0,131100
CR-70286,2026-07-07,Abha,Chevrolet,Tahoe,2013,228768.0,Petrol,Automatic,5.3,4,0,Excellent,Silver,Private,1,0,57300
CR-70287,2026-07-07,Abha,Mazda,CX-5,2018,189750.0,Petrol,Automatic,2.5,1,0,Fair,Black,Dealer,1,0,39100
CR-70288,2026-06-16,Abha,Ford,Explorer,2018,166580.0,Petrol,Automatic,3.0,1,0,Fair,Blue,Private,1,24,67600
CR-70289,2026-06-02,Abha,Chevrolet,Malibu,2013,241837.0,Petrol,Manual,2.0,1,0,Good,White,Dealer,0,0,18000
CR-70290,2026-05-14,Madinah,Kia,Cerato,2024,58255.0,Petrol,Automatic,2.0,1,0,Excellent,Black,Auction,0,24,58900
CR-70291,2026-04-18,Riyadh,Hyundai,Sonata,2017,167965.0,Petrol,Automatic,2.5,3,1,Good,Black,Dealer,0,6,25900
CR-70292,2026-07-04,Makkah,Honda,Civic,2022,75080.0,Petrol,Automatic,1.5,1,0,Good,Blue,Dealer,1,0,54900
CR-70293,2026-04-21,,Toyota,Camry,2019,123129.0,Petrol,Automatic,2.5,3,0,Good,White,Private,0,6,58800
CR-70294,2026-04-28,Tabuk,Nissan,Patrol,2019,134779.0,Petrol,Automatic,4.0,2,0,Excellent,Black,Dealer,1,0,159300
CR-70295,2026-06-02,Abha,GMC,Yukon,2024,41493.0,Diesel,Automatic,5.3,1,0,Good,Brown,Private,1,0,235600
CR-70296,2026-05-25,Madinah,Toyota,Camry,2023,67512.0,Petrol,Automatic,2.0,1,0,Good,Red,Private,0,12,84800
CR-70297,2026-05-23,Madinah,Toyota,Camry,2024,44320.0,Petrol,Automatic,2.0,1,0,Fair,White,Private,1,0,90500
CR-70298,2026-07-21,Riyadh,Hyundai,Tucson,2019,147100.0,Hybrid,Automatic,2.5,3,0,Excellent,White,Private,0,0,55400
CR-70299,2026-05-04,Makkah,BMW,5 Series,2018,136181.0,Petrol,Automatic,2.0,3,1,Excellent,Black,Private,1,0,89900
CR-70300,2026-06-09,Madinah,Nissan,Altima,2012,269751.0,Petrol,Automatic,2.5,2,0,Excellent,White,Dealer,1,0,18000
CR-70301,2026-07-21,Tabuk,Mercedes-Benz,E-Class,2015,212057.0,Petrol,Automatic,2.0,4,0,Fair,Blue,Dealer,1,24,60900
CR-70302,2026-04-19,Khobar,Hyundai,Sonata,2022,68613.0,Petrol,Manual,2.5,1,0,Excellent,Silver,Private,1,0,64500
CR-70303,2026-04-07,Riyadh,Ford,Explorer,2012,281747.0,Petrol,Automatic,3.0,1,0,Fair,Gray,Dealer,0,0,37400
CR-70304,2026-07-08,Madinah,Chevrolet,Tahoe,2021,96331.0,Diesel,Automatic,6.2,1,0,Fair,White,Private,1,6,151000
CR-70305,2026-04-19,Abha,Toyota,Corolla,2018,150689.0,Petrol,Automatic,1.6,2,0,Excellent,,Auction,1,12,31700
CR-70306,2026-05-31,Makkah,Mercedes-Benz,E-Class,2020,88604.0,Petrol,Automatic,2.0,1,0,Good,Gray,Auction,1,0,141400
CR-70307,2026-05-09,Khobar,Honda,Accord,2023,78767.0,Petrol,Automatic,2.0,1,0,Fair,White,Private,0,0,69700
CR-70308,2026-07-12,Riyadh,Hyundai,Elantra,2020,121879.0,Petrol,Automatic,1.6,1,0,Fair,Gray,Private,1,0,34200
CR-70309,2026-05-22,Makkah,Kia,Sportage,2018,140633.0,Petrol,Automatic,2.5,1,0,Excellent,Gray,Dealer,1,0,54000
CR-70310,2026-05-09,Dammam,Honda,Civic,2019,128953.0,Petrol,Manual,1.5,1,0,Good,White,Dealer,1,0,36400
CR-70311,2026-04-04,Madinah,Chevrolet,Malibu,2024,60926.0,Petrol,Automatic,1.5,2,0,Excellent,Black,Private,1,6,61500
CR-70312,2026-07-16,Makkah,Chevrolet,Malibu,2023,51848.0,Petrol,Automatic,2.0,1,0,Good,Gray,Dealer,1,12,61900
CR-70313,2026-07-09,Makkah,Chevrolet,Malibu,2013,273052.0,Hybrid,Automatic,1.5,4,0,Excellent,Gray,Dealer,1,24,18000
CR-70314,2026-07-12,Madinah,Toyota,Hilux,2017,162914.0,Petrol,Automatic,2.8,1,1,Excellent,Gray,Dealer,0,0,45300
CR-70315,2026-07-31,Makkah,Nissan,Altima,2021,82155.0,Petrol,Automatic,2.0,2,0,Excellent,White,Private,0,6,50500
CR-70316,2026-06-12,Khobar,Hyundai,Sonata,2017,148136.0,Petrol,Automatic,2.0,2,1,Good,White,Dealer,1,12,31100
CR-70317,2026-06-11,Tabuk,Ford,Explorer,2014,223562.0,Petrol,Automatic,2.3,1,0,Fair,White,Private,0,12,40500
CR-70318,2026-06-26,Riyadh,Hyundai,Elantra,2017,156368.0,Petrol,Automatic,1.6,4,0,Good,White,Private,1,0,23300
CR-70319,2026-04-27,Jeddah,GMC,Yukon,2022,74417.0,Petrol,Automatic,5.3,1,0,Excellent,White,Dealer,1,6,242000
CR-70320,2026-04-04,Riyadh,Kia,Cerato,2014,242290.0,Petrol,Manual,2.0,1,0,Fair,Gray,Private,1,0,18000
CR-70321,2026-05-22,Khobar,Hyundai,Sonata,2023,78874.0,Hybrid,Automatic,2.0,1,0,Excellent,White,Private,0,24,78800
CR-70322,2026-05-20,Makkah,Mazda,CX-5,2012,292676.0,Petrol,Automatic,2.0,1,0,Excellent,Gray,Dealer,1,12,24300
CR-70323,2026-07-17,Dammam,Toyota,Land Cruiser,2013,268411.0,Diesel,Automatic,4.0,3,0,Excellent,Red,Private,0,12,69300
CR-70324,2026-06-06,Riyadh,Mazda,CX-5,2025,25303.0,Hybrid,Automatic,2.5,2,0,Fair,Black,Dealer,1,24,108300
CR-70325,2026-05-01,Riyadh,Mercedes-Benz,E-Class,2022,84118.0,Petrol,Automatic,2.0,1,0,Excellent,Silver,Dealer,1,0,203800
CR-70326,2026-06-20,Dammam,Toyota,Land Cruiser,2012,283368.0,Petrol,Automatic,4.0,1,0,Good,White,Dealer,1,0,71900
CR-70327,2026-07-14,Tabuk,Mazda,CX-5,2013,240921.0,Petrol,Automatic,2.0,3,0,Excellent,Black,Dealer,0,0,24700
CR-70328,2026-04-21,Tabuk,Nissan,Patrol,2024,25902.0,Petrol,Automatic,4.0,3,1,Excellent,Silver,Auction,0,0,187700
CR-70329,2026-05-02,Madinah,Mazda,CX-5,2015,190535.0,Petrol,Automatic,2.5,2,0,Good,Red,Dealer,0,0,35300
CR-70330,2026-05-10,Madinah,Kia,Sportage,2024,,Petrol,Automatic,2.0,3,0,Excellent,White,Private,1,12,83800
CR-70331,2026-06-18,Dammam,Toyota,Corolla,2017,160156.0,Petrol,Automatic,1.8,1,0,Good,Black,Dealer,1,0,32900
CR-70332,2026-04-04,Dammam,BMW,5 Series,2023,59568.0,Petrol,Manual,3.0,1,0,Good,White,Dealer,1,0,191100
CR-70333,2026-06-10,Abha,BMW,5 Series,2014,225663.0,Petrol,Automatic,3.0,1,0,Excellent,Red,Dealer,0,0,73500
CR-70334,2026-04-27,Abha,GMC,Yukon,2012,232755.0,Petrol,Automatic,5.3,1,0,Excellent,White,Dealer,1,0,68400
CR-70335,2026-07-18,Tabuk,GMC,Yukon,2025,17354.0,Petrol,Automatic,5.3,1,0,Good,Black,Private,1,0,276800
CR-70336,2026-04-17,Khobar,BMW,5 Series,2024,41060.0,Petrol,Automatic,3.0,1,0,Excellent,Black,Private,0,12,252000
CR-70337,2026-07-13,Riyadh,GMC,Yukon,2012,265686.0,Petrol,Manual,6.2,2,0,Good,Black,Private,1,0,56500
CR-70338,2026-06-10,Riyadh,Toyota,Camry,2014,216233.0,Hybrid,Manual,2.0,3,0,Good,White,Dealer,0,12,29700
CR-70339,2026-06-24,Khobar,Kia,Cerato,2019,95996.0,Petrol,Automatic,1.6,2,0,Good,White,Dealer,1,0,39300
CR-70340,2026-06-30,Dammam,GMC,Yukon,2016,190756.0,Petrol,Automatic,6.2,1,1,Good,Blue,Private,0,12,78300
CR-70341,2026-04-27,Makkah,Honda,Accord,2021,,Diesel,Automatic,2.0,1,0,Good,Brown,Private,0,0,61600
CR-70342,2026-07-27,Makkah,Toyota,Hilux,2012,,Petrol,Automatic,2.4,1,0,Good,White,Dealer,0,12,27800
CR-70343,2026-06-02,Tabuk,Kia,Cerato,2012,247472.0,Petrol,Automatic,2.0,2,0,Fair,White,Private,1,0,18000
CR-70344,2026-06-25,Jeddah,Nissan,Altima,2022,71877.0,Petrol,Automatic,2.5,1,0,Good,Red,Private,1,6,57400
CR-70345,2026-04-06,Riyadh,Toyota,Hilux,2024,33326.0,Petrol,Automatic,2.8,1,0,Fair,Silver,Private,1,0,103900
CR-70346,2026-04-14,Dammam,Honda,Civic,2019,141521.0,Petrol,Automatic,1.5,2,0,Excellent,Black,Dealer,1,0,38000
CR-70347,2026-07-12,Jeddah,Honda,Accord,2024,49668.0,Petrol,Automatic,1.5,2,0,Excellent,White,Dealer,1,0,98300
CR-70348,2026-07-21,Tabuk,Hyundai,Tucson,2020,100178.0,Hybrid,Automatic,2.0,3,0,Excellent,,Dealer,1,0,63800
CR-70349,2026-04-07,Jeddah,Kia,Cerato,2019,121763.0,Petrol,Automatic,2.0,3,0,Fair,Silver,Dealer,1,0,29900
CR-70350,2026-05-02,Khobar,Toyota,Corolla,2014,222443.0,Petrol,Manual,1.6,2,0,Fair,Black,Private,1,0,18000
CR-70351,2026-07-12,Makkah,Hyundai,Sonata,2014,220868.0,Hybrid,Automatic,2.0,4,0,Good,Black,Dealer,1,0,23800
CR-70352,2026-07-29,Khobar,Kia,Cerato,2023,61232.0,Petrol,Automatic,1.6,1,1,Good,White,Private,1,0,48500
CR-70353,2026-07-25,Dammam,Toyota,Camry,2020,100252.0,Petrol,Automatic,2.0,2,0,Good,Gray,Private,0,0,66200
CR-70354,2026-05-13,Tabuk,Chevrolet,Tahoe,2023,71435.0,Petrol,Automatic,6.2,2,0,Good,White,Dealer,1,0,194400
CR-70355,2026-07-03,Jeddah,Ford,Explorer,2021,114218.0,Diesel,Automatic,3.0,1,0,Excellent,Silver,Dealer,0,0,121900
CR-70356,2026-07-22,Abha,Honda,Civic,2013,252725.0,Petrol,Automatic,2.0,1,1,Good,Silver,Dealer,1,24,18000
CR-70357,2026-07-22,Dammam,Toyota,Camry,2019,125004.0,Petrol,Automatic,2.0,1,0,Excellent,White,Private,1,12,69300
CR-70358,2026-07-18,Dammam,Hyundai,Sonata,2022,89017.0,Petrol,Automatic,2.5,4,0,Good,Black,Dealer,1,0,56900
CR-70359,2026-06-04,Khobar,Honda,Accord,2024,42413.0,Hybrid,Automatic,2.0,1,0,Good,Gray,Dealer,1,0,106300
CR-70360,2026-06-03,Jeddah,Mercedes-Benz,E-Class,2012,271960.0,Petrol,Automatic,3.0,1,0,Fair,Silver,Private,1,0,50200
CR-70361,2026-04-15,Tabuk,Nissan,Altima,2019,145770.0,Petrol,Automatic,2.0,2,0,Fair,White,Private,0,0,31200
CR-70362,2026-07-30,Riyadh,GMC,Yukon,2013,251437.0,Petrol,Automatic,6.2,3,0,Good,Gray,Private,1,0,56900
CR-70363,2026-07-25,Tabuk,Honda,Accord,2020,90387.0,Hybrid,Automatic,1.5,1,0,Excellent,White,Dealer,1,0,72300
CR-70364,2026-04-30,Dammam,Kia,Cerato,2025,39623.0,Petrol,Manual,2.0,1,0,Good,White,Dealer,0,0,64300
CR-70365,2026-05-28,Dammam,Kia,Sportage,2018,150547.0,Petrol,Automatic,1.6,3,0,Good,Red,Private,0,24,37800
CR-70366,2026-04-27,Tabuk,Mazda,CX-5,2020,116461.0,Petrol,Automatic,2.0,1,1,Excellent,Silver,Dealer,1,6,53400
CR-70367,2026-05-01,Tabuk,GMC,Yukon,2023,62647.0,Petrol,Automatic,5.3,1,0,Fair,Brown,Dealer,1,0,212400
CR-70368,2026-04-27,Jeddah,Ford,Explorer,2025,37246.0,Petrol,Automatic,3.0,1,1,Fair,Black,Private,1,12,133800
CR-70369,2026-04-11,Khobar,Nissan,Patrol,2023,63156.0,Petrol,Automatic,5.6,1,0,Excellent,Gray,Auction,0,0,244300
CR-70370,2026-06-05,Tabuk,Kia,Sportage,2025,19808.0,Petrol,Automatic,2.5,4,0,Excellent,White,Private,1,6,89300
CR-70371,2026-06-07,Tabuk,GMC,Yukon,2012,274012.0,Hybrid,Automatic,5.3,4,0,Excellent,Red,Dealer,1,0,58900
CR-70372,2026-05-17,Riyadh,BMW,5 Series,2017,157063.0,Petrol,Automatic,2.0,2,0,Fair,Black,Dealer,0,0,88000
CR-70373,2026-04-13,Jeddah,Honda,Accord,2023,58525.0,Petrol,Manual,1.5,1,0,Good,White,Dealer,1,0,84100
CR-70374,2026-05-18,Makkah,Honda,Accord,2020,122224.0,Petrol,Automatic,1.5,1,1,Good,White,Dealer,0,12,48000
CR-70375,2026-05-12,Dammam,Hyundai,Sonata,2025,25091.0,Petrol,Automatic,2.0,1,0,Good,White,Private,0,24,85100
CR-70376,2026-07-05,Riyadh,GMC,Yukon,2015,176274.0,Petrol,Automatic,6.2,1,1,Good,Blue,Dealer,1,0,83200
CR-70377,2026-07-19,Madinah,Nissan,Patrol,2013,243911.0,Petrol,Manual,5.6,3,0,Excellent,White,Dealer,0,6,58700
CR-70378,2026-06-19,Riyadh,Toyota,Corolla,2023,54045.0,Petrol,Automatic,1.6,2,0,Excellent,White,Dealer,1,12,68900
CR-70379,2026-05-26,Riyadh,Hyundai,Tucson,2015,192267.0,Petrol,Automatic,1.6,1,0,Excellent,Red,Private,0,12,36900
CR-70380,2026-06-20,Riyadh,Toyota,Camry,2016,197931.0,Petrol,Automatic,2.0,1,0,Good,White,Dealer,1,6,45500
CR-70381,2026-07-07,Khobar,Honda,Accord,2012,276703.0,Petrol,Manual,2.0,1,0,Good,Silver,Dealer,0,0,20400
CR-70382,2026-07-11,Makkah,Toyota,Land Cruiser,2023,77817.0,Petrol,Automatic,4.0,1,1,Excellent,Gray,Dealer,0,0,234200
CR-70383,2026-07-30,Abha,Hyundai,Elantra,2020,105884.0,Petrol,Automatic,2.0,1,0,Excellent,Black,Private,0,12,40400
